n units 6000,True Effect
0.5244172222222222,0
0.4581641666666667,0
0.4827269444444444,0
0.48630777777777784,0
0.4887772222222222,0
0.5013358333333333,0
0.4444783333333333,0
0.48135055555555556,0
0.49445027777777784,0
0.49379361111111114,0
0.4176291666666666,0
0.5205491666666666,0
0.46281666666666665,0
0.5134169444444445,0
0.4655541666666666,0
0.49358361111111115,0
0.4414922222222222,0
0.4288469444444444,0
0.4685341666666667,0
0.47895000000000004,0
0.5347444444444445,0
0.5102336111111111,0
0.4418925,0
0.47533166666666665,0
0.5065172222222222,0
0.5006555555555555,0
0.5097058333333333,0
0.49765694444444447,0
0.4935638888888889,0
0.43777333333333335,0
0.5042344444444444,0
0.47410722222222224,0
0.4400433333333333,0
0.44596888888888886,0
0.5028602777777778,0
0.4776586111111111,0
0.5298172222222222,0
0.46018472222222223,0
0.4664425,0
0.47824777777777777,0
0.5099541666666667,0
0.46234416666666667,0
0.4316494444444445,0
0.47883638888888885,0
0.5012844444444444,0
0.48995944444444445,0
0.4282975,0
0.38643194444444445,0
0.4770886111111111,0
0.5426255555555556,0
0.5256641666666666,0
0.4952063888888889,0
0.46911638888888885,0
0.4580919444444445,0
0.4856780555555556,0
0.42675416666666666,0
0.4652830555555556,0
0.47086361111111114,0
0.45117777777777773,0
0.4831747222222222,0
0.47920666666666667,0
0.4781352777777778,0
0.4830772222222222,0
0.43160638888888886,0
0.5665158333333333,0
0.45253388888888885,0
0.5069830555555555,0
0.5199630555555557,0
0.4567675,0
0.44205555555555553,0
0.4996058333333333,0
0.5097136111111111,0
0.4482008333333333,0
0.4658488888888889,0
0.5051563888888889,0
0.5149827777777778,0
0.49835416666666665,0
0.5241069444444444,0
0.4886658333333333,0
0.46796250000000006,0
0.49580027777777774,0
0.48793499999999995,0
0.49394277777777773,0
0.5223980555555555,0
0.44634250000000003,0
0.44064722222222225,0
0.4617261111111111,0
0.4848311111111111,0
0.41782972222222226,0
0.5263741666666667,0
0.49434416666666664,0
0.5076416666666665,0
0.4650538888888888,0
0.5050961111111111,0
0.4478130555555556,0
0.4426419444444444,0
0.47967055555555554,0
0.47933861111111115,0
0.4670841666666667,0
0.46150555555555556,0
